minute;gpm;total_periodic_gold;cum_periodic_gold;melee_num;ranged_num;siege_num;flagbearer_num;melee_gold;ranged_gold;siege_gold;flagbearer_gold;melee;ranged;siege;flagbearer;total_lane_gold;cum_lane_gold;small_num;medium_num;large_num;ancient_num;small_gold;medium_gold;large_gold;ancient_gold;small;medium;large;ancient;total_neutrals_gold;cum_neutrals_gold;bounty_gold;bounty_num;total_bounty_gold;cum_bounty_gold;total_tormentor_gold;cum_tormentor_gold;total_gold;cum_total_gold
0.0;90.0;225.0;225.0;3.0;1;0.0;0.0;37;48;66;83;111.0;48;0.0;0.0;477.0;477.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40;4.0;800.0;800.0;0;0;1502.0;1502.0
0.5;90.0;225.0;450.0;3.0;1;0.0;0.0;37;48;66;83;111.0;48;0.0;0.0;477.0;954.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40;0.0;0.0;800.0;0;0;702.0;2204.0
1.0;90.0;225.0;675.0;3.0;1;0.0;0.0;37;48;66;83;111.0;48;0.0;0.0;477.0;1431.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;2760.0;40;0.0;0.0;800.0;0;0;3462.0;5666.0
1.5;90.0;225.0;900.0;3.0;1;0.0;0.0;37;48;66;83;111.0;48;0.0;0.0;477.0;1908.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2760.0;40;0.0;0.0;800.0;0;0;702.0;6368.0
2.0;90.0;225.0;1125.0;2.0;1;0.0;1.0;37;48;66;83;74.0;48;0.0;83.0;615.0;2523.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;5520.0;40;0.0;0.0;800.0;0;0;3600.0;9968.0
2.5;90.0;225.0;1350.0;3.0;1;0.0;0.0;37;48;66;83;111.0;48;0.0;0.0;477.0;3000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5520.0;40;0.0;0.0;800.0;0;0;702.0;10670.0
3.0;90.0;225.0;1575.0;2.0;1;0.0;1.0;37;48;66;83;74.0;48;0.0;83.0;615.0;3615.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;8280.0;36;2.0;360.0;1160.0;0;0;3960.0;14630.0
3.5;90.0;225.0;1800.0;3.0;1;0.0;0.0;37;48;66;83;111.0;48;0.0;0.0;477.0;4092.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8280.0;36;0.0;0.0;1160.0;0;0;702.0;15332.0
4.0;90.0;225.0;2025.0;2.0;1;0.0;1.0;37;48;66;83;74.0;48;0.0;83.0;615.0;4707.0;4.0;8.0;12.0;4.0;59.0;82.0;101.0;164.0;236.0;656.0;1212.0;656.0;2760.0;11040.0;36;0.0;0.0;1160.0;0;0;3600.0;18932.0
4.5;90.0;225.0;2250.0;3.0;1;0.0;0.0;37;48;66;83;111.0;48;0.0;0.0;477.0;5184.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11040.0;36;0.0;0.0;1160.0;0;0;702.0;19634.0
